,bikes_total,percent_taken,yp_distance_avg,yp_rating_avg,yp_price_avg,yp_name_count
bikes_total,1.0,0.20402150553546547,-0.16779336044267137,0.019651452296672256,-0.025179464412736094,0.10318151348058394
percent_taken,0.20402150553546547,1.0,-0.11346380964098843,0.18467507188353371,0.09797439257014165,0.2831606026215253
yp_distance_avg,-0.16779336044267137,-0.11346380964098843,1.0,-0.06635895645329182,-0.12492731869543319,-0.33228257117629684
yp_rating_avg,0.019651452296672256,0.18467507188353371,-0.06635895645329182,1.0,0.8362371316597325,0.7502398302272848
yp_price_avg,-0.025179464412736094,0.09797439257014165,-0.12492731869543319,0.8362371316597325,1.0,0.6871392664922219
yp_name_count,0.10318151348058394,0.2831606026215253,-0.33228257117629684,0.7502398302272848,0.6871392664922219,1.0
