,bikes_total,percent_taken,fs_distance_avg,fs_rating_avg,fs_popularity_avg,fs_price_avg,fs_name_count,yp_distance_avg,yp_rating_avg,yp_price_avg,yp_name_count
bikes_total,1.0,0.20402150553546547,-0.2795902550281127,0.17833166319011912,0.2180259242441616,0.35663895664857526,0.09502996570506606,-0.16779336044267137,0.019651452296672256,-0.025179464412736094,0.10318151348058394
percent_taken,0.20402150553546547,1.0,-0.2856012158238186,0.06619760093088028,0.062449870544560936,0.12520414856788364,0.1679590921334632,-0.11346380964098843,0.18467507188353371,0.09797439257014165,0.2831606026215253
fs_distance_avg,-0.2795902550281127,-0.2856012158238186,1.0,-0.433195990107056,-0.4065409356510815,-0.7473083343061397,-0.25579075052641614,0.6423895812760131,-0.05681220898716179,-0.07150531504924192,-0.3138040684800213
fs_rating_avg,0.17833166319011912,0.06619760093088028,-0.433195990107056,1.0,0.7194378406556473,0.5963169394743452,0.7486516957459028,0.0555506570456429,0.6230189056248951,0.5759222188113454,0.5413977035225767
fs_popularity_avg,0.2180259242441616,0.062449870544560936,-0.4065409356510815,0.7194378406556473,1.0,0.6848951558714382,0.764504942024731,-0.28646825158804956,0.7066777644188924,0.5515314691863472,0.7974869637016483
fs_price_avg,0.35663895664857526,0.12520414856788364,-0.7473083343061397,0.5963169394743452,0.6848951558714382,1.0,0.5989095079676937,-0.6681407049503951,0.48164431478788633,0.5332503063787093,0.6430985308116504
fs_name_count,0.09502996570506606,0.1679590921334632,-0.25579075052641614,0.7486516957459028,0.764504942024731,0.5989095079676937,1.0,-0.03444910321934704,0.8941568004629185,0.7381772842273938,0.7256965194658914
yp_distance_avg,-0.16779336044267137,-0.11346380964098843,0.6423895812760131,0.0555506570456429,-0.28646825158804956,-0.6681407049503951,-0.03444910321934704,1.0,-0.06635895645329182,-0.12492731869543319,-0.33228257117629684
yp_rating_avg,0.019651452296672256,0.18467507188353371,-0.05681220898716179,0.6230189056248951,0.7066777644188924,0.48164431478788633,0.8941568004629185,-0.06635895645329182,1.0,0.8362371316597325,0.7502398302272848
yp_price_avg,-0.025179464412736094,0.09797439257014165,-0.07150531504924192,0.5759222188113454,0.5515314691863472,0.5332503063787093,0.7381772842273938,-0.12492731869543319,0.8362371316597325,1.0,0.6871392664922219
yp_name_count,0.10318151348058394,0.2831606026215253,-0.3138040684800213,0.5413977035225767,0.7974869637016483,0.6430985308116504,0.7256965194658914,-0.33228257117629684,0.7502398302272848,0.6871392664922219,1.0
